城市,日期,天气,气温
24日（今天）,大雨转小雨,29/25℃,<3级
25日（明天）,小雨转多云,31/26℃,<3级
26日（后天）,多云,32/27℃,<3级
27日（周五）,多云,32/25℃,<3级
28日（周六）,多云,30/26℃,<3级
29日（周日）,多云,31/26℃,<3级
30日（周一）,小雨,29/24℃,<3级
24日（今天）,小雨,27/24℃,<3级
25日（明天）,小雨,30/25℃,<3级
26日（后天）,小雨,31/24℃,<3级
27日（周五）,阵雨,32/25℃,<3级
28日（周六）,阵雨转多云,32/25℃,<3级
29日（周日）,多云,33/25℃,<3级
30日（周一）,小雨转阴,31/25℃,<3级
24日（今天）,晴转阵雨,25/13℃,<3级转3-4级
25日（明天）,多云转小雨,24/12℃,<3级转3-4级
26日（后天）,小雨,15/8℃,4-5级
27日（周五）,小雨,11/6℃,<3级
28日（周六）,晴,12/3℃,<3级
29日（周日）,晴,12/3℃,<3级
30日（周一）,晴,14/3℃,<3级
24日（今天）,多云,25/17℃,<3级
25日（明天）,多云,24/17℃,<3级
26日（后天）,阵雨,25/17℃,<3级
27日（周五）,阵雨转多云,24/16℃,<3级
28日（周六）,阵雨,25/18℃,<3级
29日（周日）,阵雨,25/18℃,<3级
30日（周一）,小雨,24/17℃,<3级
