text,time,title
11月26日—27日，由广东省总工会、广东省教育厅主办，省教科文卫工会、省教育研究院承办的广东省第七届高校青年教师教学大赛高职总决赛暨大赛颁奖大会在广东机电职业技术学院举行。我校管理学院栗璐雅博士喜获文科综合组冠军，将被授予省五一劳动奖章。工业训练中心（创新创业学院）杨玮民博士获理工综合组一等奖，数理化小组第一名。本届赛事我校共获得一等奖5项，二等奖8项，一等奖数量和获奖总数均位居全省第一。本届教学大...,2024-12-02,我校教师摘得广东省第七届高校青年教师教学大赛（高职）总决赛冠军
1238名深职大志愿者服务深马。12月1日，2024深圳马拉松鸣枪开跑。1238名深职大志愿者化身“小白鸽”，在起跑发令、主会场引导、检录、赛道补给、计时录像等重要岗位提供志愿服务，为今年的深马保驾护航。这已经是深职大志愿者第九年服务深马，展示了深职大学子良好的精神风貌，以及深职大积极参与深圳“志愿者之城”建设的责任担当。我校学子在起跑发令岗位提供志愿服务。披星戴月，“小白鸽”为深马守护今年的深马于早上7：30...,2024-12-02,“小白鸽”上线！1238名深职志愿者助力深马
世界职业技术教育发展联盟成立。11月21日，以“创新赋能未来，技能塑造人生”为主题的2024年世界职业技术教育发展大会在天津开幕。大会设置了开幕式、主旨报告、部长级圆桌会议、平行会议等多个环节。共有来自全球100多个国家和地区的1200余位国内外代表参会，其中境外嘉宾600余人，覆盖政府官员、驻华使节、国际组织和院校代表等。我校党委副书记、校长许建领出席大会。许建领作为中方成员院校唯一代表发言。大会开幕前，20日...,2024-11-25,学校受邀参加2024年世界职业技术教育发展大会
11月16日，在学校党委书记杨欣斌的带领下，来自本科教育学院、集成电路学院、职业技术教育学院、“飞翔计划”的20位深职学子来到湘西十八洞村开启了“行走的思政课”实践之旅，沿着习近平总书记的足迹，于青山绿水间探寻乡村振兴的致富良方。观主题馆，探深山苗寨蝶变路“山沟两岔穷疙瘩，每天红薯苞谷粑。要想吃顿大米饭，除非生病有娃娃。”主题馆墙上的这首苗歌刻画了精准扶贫前十八洞村的穷苦不堪。2013年11月3日，习近平总...,2024-11-20,校领导带领同学在湘西十八洞村开展“行走的思政课”
活动在留仙洞园区体育场举行。11月16日清晨，我校携手香港港专学院师生在西丽校区留仙洞园区体育场举行升国旗仪式。中央人民政府驻香港特别行政区联络办公室教科部三级调研员巩德亮、全国政协委员 、香港港专校长陈卓禧，我校党委副书记、校长许建领等出席升旗仪式，港专升旗队、电信学院青马班学员总计200余人参与。这是继去年“同升一面旗 共绘同心圆”之后，我校再次携手香港港专学院举办“同升一面旗”系列活动。两校以国旗...,2024-11-19,我校与香港港专学院师生举行升国旗仪式
运动会在西丽校区留仙洞园区体育场举行。11月13-15日，深圳职业技术大学第二届运动会在西丽校区留仙洞园区体育场举行。我校党委副书记、校长许建领，副校长李月、李小元等校领导出席了开幕式。开幕式由副校长董朝君主持。节目表演。本届运动会的主题是：“匠心筑梦，运动激扬”。伴随着雄壮的运动进行曲，学校国旗校旗护卫队、裁判员方阵、20支学生代表队以及27支教工代表队依次进入会场，他们精神抖擞，意气风发，迈着整齐的步...,2024-11-18,深圳职业技术大学第二届运动会圆满举行
,2024-11-18,含“新”量满满！深职大闪耀高交会
“劳模工匠进校园”系列讲座活动在留仙洞园区音乐厅开讲。为大力弘扬劳模精神、劳动精神、工匠精神，充分发挥劳动教育在立德树人中的重要作用，11月13日，由校团委、劳动教育中心主办的“劳模工匠进校园”系列讲座活动在留仙洞园区音乐厅再次开讲。被誉为“中国摩天大楼第一人”的中建钢构股份有限公司首席专家陆建新，为650余名师生上了一堂生动的劳动教育课。陆建新动情讲述了他42年来亲身参与北上广深一座座地标建筑设计施工...,2024-11-15,“中国摩天大楼第一人” 陆建新到我校讲授劳动教育课
活动在华侨城校区开幕。11月13日，“湾区创意——深圳职业技术大学创新创意设计学院设计学术周系列活动”在深圳职业技术大学（以下简称“深职大”）华侨城校区开幕。开幕式上，深职大与福田区人民政府签署了战略合作框架协议，正式启动深度合作，共同探索文化创意驱动产业高质量发展的新路径、新模式。中国文联副主席、中国民间文艺家协会主席、中国美术家协会工艺美术艺委会主任潘鲁生，深圳市教育局主任督学蔡茂洲，福田区委...,2024-11-14,我校与福田区人民政府签署战略合作协议
研讨会在同德楼1号会议室举行。11月14-15日，第25届海峡两岸应用性（技术与职业）高等教育学术研讨会（以下简称“海峡两岸研讨会”）在深圳职业技术大学举行。本次研讨会主题聚焦“数字·绿色·开放·创新：高等教育赋能区域高质量发展”，邀请了海峡两岸院校长、专家学者、师生代表共计约150人参会。嘉宾们围绕高等教育的人才培养模式、专业与区域产业的耦合、融合模式的创新与实践、区域创新体系建设、推动区域产业技术升级和转...,2024-11-14,第25届海峡两岸应用性（技术与职业）高等教育学术研讨会在我校举行
